,song,artist,genre,artists(shazam),songwriters,producers
31,"Good Luck, Babe!",Chappell Roan,Pop,['Chappell Roan'],"['Daniel Nigro', 'Justin Tranter', 'Chappell Roan']",
32,Luna,Romans,Pop,,['Romans'],
33,Another Love,Tom Odell,Singer/Songwriter,"['Tom Odell', 'Max Goff', 'Max Clilverd', 'Dan McDougall']",['Tom Odell'],"['Dan Grech-Marguerat', 'Duncan Fuller', 'Cenzo Townshend', 'Sean Julliard', 'Mazen Murad']"
34,Qlona,Peso Pluma & KAROL G,Latino,"['Peso Pluma', 'KAROL G']","['Daniel Echavarria Oviedo', 'JUAN SEBASTIAN NAVARRO GONZALEZ', 'Hassan Emilio Kabande Laija', 'Daniel Esteban Gutierrez', 'Carolina Giraldo Navarro']",
35,The Night We Met,Lord Huron,Alternative,"['Ben Schneider', 'Tom Renaud', 'Jessica Maros', 'Mark Antony Barry', 'Miguel Briseno']",['Ben Schneider'],"['Ben Schneider', 'Ben Tolliday', 'Dave Cooley', 'Rick Parker']"
36,Standing Next To You,Jung Kook,K-Pop,['Jung Kook'],"['Henry Russell Walter', 'Ali Tamposi', 'Jon Bellion', 'Andrew Wotman']","['Andrew Watt', 'Cirkut', 'Serban Ghenea', 'Bryce Bordone', 'Mike Bozzi']"
37,Houdini,Dua Lipa,Pop,['Dua Lipa'],"['Tobias Jesso Jr.', 'Danny L Harle', 'Dua Lipa', 'Caroline Ailin', 'Kevin Parker']",
38,Calm Down,Dua Lipa,Pop,"['Rema', 'Selena Gomez']",['Rema'],
39,Last Night,Morgan Wallen,Country,['Morgan Wallen'],"['John Byron', 'Ashley Gorley', 'Jacob Kasher Hindlin', 'Ryan Vojtesak']",
40,Sweater Weather,The Neighbourhood,Alternative,"['Brandon Fried', 'Jeremy Freedman', 'JesseÂ®', 'Michael Margott', 'Zachary Abels']","['Jeremy Freedman', 'Zachary Abels', 'Jesse Rutherford']","['Justyn Pilbrow', 'Chris Mullings', 'Tony Mantz']"
41,Texas Hold 'Em,Beyonce,Country,['Beyonce'],"['Brian Bates', 'Megan Bulow', 'Beyonce', 'Elizabeth Lowell Boland', 'Raphael Saadiq', 'Nate Ferraro']",
42,Something In The Orange,Zach Bryan,Country,"['Zach Bryan', 'Read Connolly', 'Ryan Hadlock', 'Taylor Carroll', 'Zephyr Avalon']",['Zach Bryan'],"['Ryan Hadlock', 'Taylor Carroll']"
43,Blinding Lights,The Weeknd,R&B/Soul,"['The Weeknd', 'Max Martin', 'Oscar Holter']","['Ahmad Balshe', 'Jason Daheala Quenneville', 'The Weeknd', 'Oscar Holter', 'Karl Martin Sandberg']","['The Weeknd', 'Max Martin', 'Oscar Holter', 'Serban Ghenea', 'John Hanes', 'Cory Bice', 'Jeremy Lertola', 'Shin Kamiyama', 'Dave Kutch', 'Kevin Peterson', 'Sean Klein']"
44,What Was I Made For?,Billie Eilish,Alternative,"['Billie Eilish', 'FINNEAS']","['Billie Eilish', 'Finneas OÂ\x92Connell', 'Mark Ronson', 'Andrew Wyatt']","['Billie Eilish', 'FINNEAS', 'Andrew Wyatt', 'Mark Ronson', 'Eli Heisler', 'Rob Kinelski', 'Randy Merrill']"
45,Like That,"Metro Boomin, Kendrick Lamar & Future",Hip-Hop/Rap,,"['Lorenzo Patterson', 'Jeffrey Page', 'Kendrick Lamar', 'Future', 'Leland Wayne', 'Rodney Oliver', 'Joe Cooley', 'Kobe â\x80\x9cBbyKobeâ\x80\x9d Hood']",
46,Someone You Loved,Lewis Capaldi,Alternative,"['Lewis Capaldi', 'Future Humans', 'Peter Kelleher', 'Sam Cramer', 'Phil Cook', 'Benjamin Kohn']","['Lewis Capaldi', 'Sam Roman', 'Peter Kelleher', 'Ben Kohn', 'Tom Barnes']","['TMS', 'Future Humans', 'Kevin Grainger']"
47,Kill Bill,SZA,R&B/Soul,['SZA'],"['SZA', 'Rob Bisel', 'Carter Lang']",
48,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Hip-Hop/Rap,"['Post Malone', 'Swae Lee', 'Louis Bell', 'Carter Lang']","['Post Malone', 'Louis Bell', 'Khalif Brown', 'Carl Rosen', 'Billy Walsh', 'Carter Lang']","['Louis Bell', 'Carter Lang', 'Manny Marroquin', 'Chris Galland', 'Scott Desmarais', 'Robin Florent', 'Michael ""DJ Mike D"" Adachi', 'Bernie Grundman', 'Jeremie Inhaber', 'Mike Bozzi']"
