,song,artist,genre,artists(shazam),songwriters,producers
99,Carnival,"?$, Kanye West, Ty Dolla $ign & Rich The Kid",Hip-Hop/Rap,"['Ty Dolla $ign', 'Playboi Carti', 'Rich The Kid', 'Ye']","['Raul Cubina', 'Mark Carl Stolinski Williams', 'Dimitri Roger', 'Kanye West', 'Samuel Lindley', 'Grant Dickinson', 'Nasir Pemberton', 'Playboi Carti']","['Ty Dolla $ign', 'Ye', 'Digital Nas', 'Ojivolta', 'Tyrone Griffin Jr', 'TheLabCook', 'The Legendary Traxster', 'Mike Tucci']"
100,Lovely,Billie Eilish & Khalid,Pop,"['Billie Eilish', 'Khalid']","['Billie Eilish', 'Finneas', 'Khalid']","['FINNEAS', 'Rob Kinelski', 'John Greenham', 'Denis Kosiak']"
101,In The End,LINKIN PARK,Hard Rock,"['Brad Delson', 'Chester Bennington', 'Mike Shinoda', 'Rob Bourdon', 'Joseph Hahn']","['Mike Shinoda', 'Brad Delson', 'Joseph Hahn', 'Rob Bourdon', 'Chester Bennington']","['Mike Shinoda', 'John Ewing, Jr.', 'Brian Gardner', 'Jeff Blue', 'Andy Wallace', 'Don Gilmore', 'Justin Smith', 'Matt Griffin']"
102,Redrum,21 Savage,Hip-Hop/Rap,,"['London Holmes', 'Mateen Kyle Niknam', 'u200eVinÃ\xadcius de Moraes', 'ShÃ©yaa Bin Abraham-Joseph']",
103,Slow It Down,Piano Covers,Country,['Piano Covers'],"['Connor McDonough', 'Jason Evigan', 'Jackson Lafrantz Larsen']",
104,Chihiro,Billie Eilish,Dance,"['Felix Cartal', 'Billie Eilish']","['Billie Eilish', 'Finneas']",
105,Belong Together,Mark Ambor,Pop,['Mark Ambor'],['Mark Ambor'],"['Mark Ambor', 'Noel Zancanella', 'Joe Zook']"
106,Who,Jimin,K-Pop,"['Jimin', 'Jon Bellion', 'Pete Nappi', 'Pdogg', 'GHSTLOOP', 'Tenroc', 'noogi park']","['GHSTLOOP', 'Jason Cornet', 'Pete Nappi', 'Pdogg', 'Jon Bellion']","['Jon Bellion', 'Pete Nappi', 'Pdogg', 'GHSTLOOP', 'Tenroc', 'Bryce Bordone', 'Chris Gehringer', 'John Arbuckle', 'Serban Ghenea']"
107,Cold Heart (PNAU Remix),Elton John & Dua Lipa,Pop,"['Elton John', 'Dua Lipa', 'Nicholas Littlemore', 'Peter Mayes', 'Sam Littlemore']","['ANDREW MEECHAM', 'Dean Meredith', 'Sam Littlemore', 'Nicholas Littlemore', 'Elton John', 'Peter Mayes', 'Bernie Taupin']","['Peter Mayes', 'Sam Littlemore', 'PNAU', 'Mark Schick', 'Rafael Fadul', 'Josh Gudwin', 'Randy Merrill']"
108,Amargura,KAROL G,Latin Urban,['KAROL G'],[''],
109,La Bachata,Manuel Turizo,Latin Urban,['Manuel Turizo'],"['Edgar Barrera', 'Juan Diego Medina Velez', 'Miguel Andres Martinez Perea', 'Gerald Oscar Jimenez', 'Andres Jael Correa Rios', 'Manuel Turizo Zapata', 'Luis Miguel Gomez Castano (Casta)']",
110,See You Again,"Tyler, The Creator",Hip-Hop/Rap,"['Tyler, The Creator', 'Kali Uchis']",['Tyler Okonma'],"['Tyler, The Creator', 'Vic Wainstein', 'Derek Jenner', 'Neal Pogue', 'Zachary Acosta', 'Mike Bozzi', 'Josh Sellers']"
111,Dance The Night,Dua Lipa,Pop,['Dua Lipa'],"['Dua Lipa', 'Caroline Ailin', 'Mark Ronson', 'Andrew Wyatt']",
112,Nonsense,Sing2Piano,Karaoke,['Sing2Piano'],"['Steph Jones', 'Leroy Clampitt', 'Sabrina Carpenter']",
113,Training Season,Dua Lipa,Pop,"['Dua Lipa', 'Kevin Parker', 'Danny L Harle', 'Caroline Ailin', 'Tobias Jesso Jr.']","['Yaakov Gruzman', 'Tobias Jesso Jr.', 'Shaun Frank', 'Martina Sorbara', 'Steve Francis Richard Mastroianni', 'Nicholas Gale', 'Danny L Harle', 'Dua Lipa', 'Caroline Ailin', 'Kevin Parker']","['Danny L Harle', 'Kevin Parker', 'Caroline Ailin', 'Will Quinnell', 'Cameron Gower Poole', 'Chris Gehringer', 'Jan Brzezinsk', 'Josh Kay', 'Josh Gudwin', 'Daniela Sicilia']"
114,Si No Estas,in?igo quintero,Pop,['in?igo quintero'],['in?igo quintero'],['in?igo quintero']
115,Agora Hills,Doja Cat,Rap,['Doja Cat'],"['Michael Lovesmith', 'Gentuar Memishi', 'Jean-Baptiste Kouame', 'Doja Cat', 'Brian Holland', 'Isaac Earl Bynum', 'Bennett Pepple']",
116,Scared To Start,Piano Covers,Country,['Piano Covers'],['Michael Marcagi'],
117,Something Just Like This,The Chainsmokers & Coldplay,Dance,"['The Chainsmokers', 'Coldplay', 'Andrew Taggart', 'Christopher Martin', 'Will Champion', 'Jordan ""DJ Swivel"" Young', 'Alesso', 'Berryman Guy Rupert', 'Jonny Buckland']","['Christopher Anthony John Martin', 'Andrew Taggart', 'Berryman Guy Rupert', 'Will Champion', 'Jonny Buckland']","['The Chainsmokers', 'Jordan ""DJ Swivel"" Young', 'Rik Simpson', 'Owen Butcher', 'Bill Rahko', 'Aleks von Korff', 'Daniel Green', 'Tony Smith', 'Adam Alpert', 'Alex Pall', 'Patrick Karnik']"
118,Type Shit,"Metro Boomin, Future, Playboi Carti & Travis Scott",Hip-Hop/Rap,,"['Dwayne Richardson', 'Future', 'Travis Scott', 'Leland Wayne', 'Playboi Carti']",
119,Monaco,Bad Bunny,Latino,,"['Marco Borrero', 'Armando Cuesta', 'Samuel Jimenez', 'Edward Davadi', 'Charles Aznavour', 'Jose Jr. Roberto Rosado Torres', 'Benito A. Martinez Ocasio']",
120,Locked Out Of Heaven,Bruno Mars,Pop,"['Bruno Mars', 'Emile Haynie', 'Mark Ronson', 'Nick Movshon', 'Homer Steinweiss', 'Jeff Bhasker']","['Philip Lawrence', 'Bruno Mars', 'Ari Levine']","['Ari Levine', 'Emile Haynie', 'Charles Moniz', 'Bob Mallory', 'Tyler Hartman', 'Alalal', 'Mark Ronson', 'Wayne Gordon', 'The Smeezingtons', 'Jeff Bhasker', 'Artie Smith']"
121,Have You Ever Seen The Rain,Creedence Clearwater Revival,Rock,"['John Fogerty', 'Stu Cook', 'Doug Clifford', 'Tom Fogerty']",['John Fogerty'],"['John Fogerty', 'Russ Gary']"
122,Iris,The Goo Goo Dolls,Pop,"['Jamie Muhoberac', 'John Rzeznik', 'Tim Pierce', 'Robby Takac', 'Mike Malinin']","['John Rzeznik', 'David Campbell']","['The Goo Goo Dolls', 'Rob Cavallo', 'Allen Sides', 'Jack Joseph Puig', 'Greg Burns', 'Rafa Sardina', 'Steve Hall']"
123,Last Christmas,Wham!,Christmas,['George Michael'],['George Michael'],"['George Michael', 'Chris Porter']"
124,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,Pop,"['Taylor Swift', 'Max Martin', 'Shellback']","['Shellback', 'Taylor Swift', 'Max Martin']","['Max Martin', 'Shellback', 'Cory Bice', 'Jeremy Lertola', 'John Hanes', 'Michael Ilbert', 'Sam Holland', 'Serban Ghenea']"
125,Pink Skies,Zach Bryan,Singer/Songwriter,"['Zach Bryan', 'Chris Anteen']",['Zach Bryan'],['Leo Alba']
126,Popular,The Weeknd & Madonna,Soundtrack,,"['Johnny Flippin', 'MIKE DEAN', 'The Weeknd', 'Leland Wayne', 'Michael Walker', 'Sam Levinson', 'Playboi Carti']",
127,I Don't Wanna Wait,The Weeknd & Madonna,Soundtrack,,"['Aldae', 'Dan Balan', 'David Guetta', 'Tyler Spry', 'Timofey Reznikov', 'Josh Varnadore', 'Ryan Tedder', 'Jakke Erixson', 'Brent Kutzle', 'Michael Pollack']",
128,Fukumean,Gunna,Hip-Hop/Rap,['Gunna'],"['Flo Ongonga', 'Gunna', 'Lucas DiFabbio']",
129,3D,Jung Kook & Jack Harlow,K-Pop,"['Jung Kook', 'Jack Harlow']","['David Stewart', 'Michael Kevin Tucker', 'Jack Harlow']","['David Stewart', 'Serban Ghenea', 'Bryce Bordone', 'Chris Gehringer', 'BloodPop']"
130,Que Onda,"Calle 24, Chino Pacas & Fuerza Regida",Regional Mexican,"['Calle 24', 'Chino Pacas', 'Fuerza Regida']","['Miguel Armenta', 'Diego Milan', 'Jonathan Caro', 'Jesus Ortiz Paz', 'Cristian Humberto Avila Vega']","['Jesus Ortiz Paz', 'Angel Tumbado']"
131,Mr. Brightside,The Killers,Rock,"['Dave Keuning', 'Mark Stoermer', 'Brandon Flowers', 'Ronnie Vannucci']","['Brandon Flowers', 'Dave Keuning']","['The Killers', 'Jeff Saltzman', 'Dave Stedronsky', 'Mark Needham', 'Will Brierre', 'Dario Dendi', 'Brian Gardner']"
132,El Amor de Su Vida,Grupo Frontera & Grupo Firme,Regional Mexican,"['Abraham Luna', 'Adelaido Solis', 'Alberto Acosta', 'Brian Ortega', 'Carlos Guerrero', 'Christian Tellez', 'Dylan Camacho', 'Eduin Caz', 'Jhonny', 'Jose Rubio', 'Juan Javier Cantu', 'Julian Pena Jr.']","['Edgar Barrera', 'Kevyn Cruz']","['Edgar Barrera', 'Luis Barrera Jr.', 'Martin Garcia']"
133,Wildflower,Blue Wednesday,Old School Rap,['Blue Wednesday'],['Gustav Joseph'],['Gustav T Joseph']
134,La Victima,Xavi,Regional Mexican,"['Xavi', 'Ivan Lopez', 'Leonardo Gama', 'Mark Diaz']",['Joshua Xavier Gutierrez Alonso'],['Ernesto Fernandez']
135,Perfect Night,LE SSERAFIM,K-Pop,"['LE SSERAFIM', 'HUH YUNJIN', 'Hong Eun-chae', 'KazuHa', 'Kim Chaewon', 'Miyawaki Sakura']","['Marcus Andersson', 'SCORE(13)', 'Jorge Luis Perez', 'Amanda Kiddo A.I. Ibanez', 'Zikai', 'Lauren Aquilina', 'Hitman Bang', 'Ninos Hanna', 'HUH YUNJIN', 'Sofia Quinn', 'Jr.', 'MEGATONE(13)', 'Niklas Jarelius Persson']","['13', '""Hitman"" Bang', 'Josh Gudwin', 'Felix Byrn', 'Chris Gehringer']"
136,Harley Quinn,"Calle 24, Chino Pacas & Fuerza Regida",Regional Mexican,"['Calle 24', 'Chino Pacas', 'Fuerza Regida']","['Miguel Armenta', 'Diego Milan', 'Jonathan Caro', 'Jesus Ortiz Paz', 'Cristian Humberto Avila Vega']","['Jesus Ortiz Paz', 'Angel Tumbado']"
137,Creep,Radiohead,Alternative,"['Colin Greenwood', ""Edward O'Brien"", 'Jonny Greenwood', 'Thom Yorke', 'Philip Selway']","['Mike Hazlewood', 'Edward OBrien', 'Jonny Greenwood', 'Thom Yorke', 'Philip Selway', 'Albert Hammond']","['Chris Blair', 'Paul Kolderie', 'Sean Slade']"
138,Si No Quieres No,Luis R Conriquez & Neton Vega,Latino,"['Luis R Conriquez', 'Neton Vega']",['Neton Vega'],"['Luis R Conriquez', 'Neton Vega', 'Carlos Santos', 'Nick calleros', 'Ernesto Fernandez']"
139,Supernova,aespa,K-Pop,"['aespa', 'GISELLE', 'KARINA', 'NINGNING', 'WINTER']","['KENZIE', 'Dwayne Dem Jointz Abernathy Jr.', 'Dem Jointz', 'Paris Alexa']",['Dem Jointz']
140,Santa,"Rvssian, Rauw Alejandro & Chris Brown",Latin Urban,"['Rauw Alejandro', 'Chris Brown', 'Rvssian']","['Chris Brown', 'Eric Bellinger', 'Tarik Johnston', 'Jose M. Collazo', 'Jorge Pizarro Kenobi', 'Tarik Rvssian Johnston', 'Nathalia Marshall Lionchild', 'Richard McClashie', 'Patrizio Pigliapoco Teezio', 'Rachael Kennedy Lionchild', 'Rauw Alejandro', 'Ben Shapiro', 'Lance Shipp Lionchild', 'Feli Ferraro']","['Mario Dunwell', 'Colin Leonard', 'Rvssian']"
141,Rich Baby Daddy,Drake,Hip-Hop/Rap,['Drake'],"['Janae Wherry', 'Benjamin Saint Fort', 'Drake', 'M. Fellander-Tsai', 'R. Zastenker', 'SZA', 'J. Klahr', 'Tom Schaeferdiek', 'Diamante Anthony Blackmon', 'Isabella Summers', 'Yuval Chain', 'Douglas Dougie F Ford', 'Shivam Barot', 'Florence Welch']",
142,Taste,Sabrina Carpenter,Pop,['Sabrina Carpenter'],"['Amy Allen', 'Julia Michaels', 'Ian Kirkpatrick', 'John Ryan', 'Sabrina Carpenter']",
143,Don't Stop Believin',Journey,Rock,"['Steve Perry', 'Neal Schon', 'Jonathan Cain', 'R. Valory', 'Steve Smith']","['Neal Schon', 'Jonathan Cain', 'Steve Perry']","['Mike Stone', 'Kevin Elson', 'Wally Buck']"
144,Bellakeo,Peso Pluma & Anitta,Regional Mexican,,"['Angel Sandoval', 'Jorge Alberto Erazo', 'Mario CÃ¡ceres', 'Juan Daniel Arias', 'Santiago Gabriel Ruiz â\x80\x9cTatoolâ\x80\x9d', 'Omar Jose Pulido Vicari', 'Larissa de Macedo', 'Hassan Emilio Kabande Laija', 'Juan Diego Medina']",
145,Stumblin' In,CYRIL,Dance,['CYRIL'],"['Nicholas Barry Nicky Chinn', 'Michael Chapman']",
146,Never Lose Me,Flo Milli,Hip-Hop/Rap,['Flo Milli'],['Flo Milli'],
147,Baby Shark,Pinkfong,Children's Music,"['Pinkfong', 'Anipen Matthew Digiacomo', 'Bommie Catherine Han', 'Charity Wynn Segoine', 'Hope Marie Segoine', 'Robert William Gardiner']","['Don Monopoli', 'Pinkfong', 'KizCastle']",['Pinkfong']
148,Mockingbird,Eminem,Hip-Hop/Rap,"['Eminem', 'Luis Resto']","['Luis Resto', 'Eminem']","['Eminem', 'Luis Resto', 'Steve King', 'Tony Campana', 'Mike Strange']"
149,Rockin' Around The Christmas Tree,Brenda Lee,Christmas,"['Brenda Lee', 'Hank Garland', 'Boots Randolph', 'Harold Bradley', 'Floyd Cramer', 'Bob Moore', 'Buddy Harman', 'The Anita Kerr Singers']",['Johnny Marks'],['Owen Bradley']
150,Can't Hold Us,Macklemore & Ryan Lewis,Hip-Hop/Rap,"['Macklemore', 'Ray Dalton']","['Ray Dalton', 'Ryan Lewis', 'Macklemore']",
151,Y Lloro,Oscar Maydon & Junior H,Regional Mexican,"['Oscar Maydon', 'Junior H']",['The Weeknd'],['Jimmy Humilde']
152,Unforgettable,French Montana,Hip-Hop/Rap,"['French Montana', 'Swae Lee', 'Mariah Carey']","['Karim Kharbouch', 'Martin McKinney', 'McCulloch Reid Sutphin', 'Christopher Washington', 'Carlos Illangelo Montagnese', 'Marcel Rainer', 'Aujla Jagvir Singh', 'The Weeknd', 'Jeremy Felton', 'Khalif Brown']","['Mike WiLL Made-It', 'CP Dubb', 'Jaegan', 'McCulloch Reid Sutphin', 'Lawrence ""ELL"" Wydermyer', 'Rick Steel', '""The Illustrious"" Jaycen Joshua', 'Maddox Chhim', 'David Nakaji', 'Dave Kutch']"
153,LaLa,Myke Towers,Latino,['Myke Towers'],['Myke Towers'],
154,Like Crazy,Jimin,K-Pop,"['Jimin', 'BLVSH', 'Evan', 'GHSTLOOP', 'Pdogg', '???']","['Chris James', 'RM', 'GHSTLOOP', 'BLVSH', 'Jimin', 'Evan', 'Pdogg']","['Pdogg', 'GHSTLOOP', 'Serban Ghenea', 'Bryce Bordone', 'Chris Gehringer', 'BLVSH']"
155,Down Bad,Taylor Swift,Pop,"['Taylor Swift', 'Shellback', 'Max Martin']","['Shellback', 'Taylor Swift', 'Max Martin']","['Shellback', 'Max Martin', 'Cory Bice', 'John Hanes', 'Michael Ilbert', 'Peter Carlsson', 'Sam Holland', 'Serban Ghenea']"
156,Just The Way You Are,Bruno Mars,Pop,"['Bruno Mars', 'Ari Levine']","['Khari Cain', 'Ari Levine', 'Philip Lawrence', 'Bruno Mars', 'Khalil Walton']","['Ari Levine', 'Christian Plata', 'Erik Madrid', 'The Smeezingtons', 'Stephen Marcussen', 'Manny Marroquin', 'Needlz']"
157,Madonna,"Natanael Cano, Dan Sanchez & Justin Morales",Regional Mexican,"['Natanael Cano', 'Justin Morales', 'Dan Sanchez', 'Oscar Maydon']","['Natanael Cano', 'Justin Morales', 'Dan Sanchez', 'Oscar Maydon']","['Natanael Cano', 'Jimmy Humilde', 'Edgar Rodriguez', 'Amilkar Galaviz']"
158,Miles On It,Kane Brown & Marshmello,Country,"['Kane Brown', 'Marshmello']","['Jake Torrey', 'Riley McDonough', 'Nicholas Gale', 'Castle', 'Connor McDonough', 'Marshmello', 'Kane Brown', 'Earwulf']",
159,Sure Thing,Miguel,R&B/Soul,"['Miguel', 'Daniel DeLuna', 'Happy Perez']","['Miguel', 'Nathan Perez', 'Miguel Jontel Pimentel']","['Miguel', 'Happy Perez', 'Manny Marroquin', 'Christian Plata', 'Erik Madrid', 'Tom Coyne']"
160,La Bebe,Yng Lvcas & Peso Pluma,Latino,,"['Daniel Donlucas', 'Hector Adrian Salazar Aguayo', 'Hassan Emilio Kabande Laija']",
161,Hot To Go!,Chappell Roan,Pop,['Chappell Roan'],"['Daniel Nigro', 'Chappell Roan']",
162,Alibi,"Sevdaliza, Pabllo Vittar & Yseult",Latin Urban,"['Sevdaliza', 'Pabllo Vittar', 'Yseult']","['Summer Disbray', 'Reynard Bargmann', 'Number Teddie', 'Sevda Alizadeh', 'Yseult Onguenet', 'Rodrigo Gorky', 'Nilusi Nisanka', 'Eyelar Mirzazadeh', 'Mathias Janmaat', 'Will Knox', 'Pabllo Vittar', 'Sevdaliza', 'Mucky']","['Sevdaliza', 'Mathias Janmaat']"
163,BAND4BAND,Central Cee & Lil Baby,Hip-Hop/Rap,"['Central Cee', 'Lil Baby']",[''],
164,Jingle Bell Rock,Bobby Helms,Christmas,"['Bobby Helms', 'The Anita Kerr Singers', 'Hank Garland']","['James Ross Boothe', 'Joe Beal']",['Paul Cohen']
165,When I Was Your Man,Bruno Mars,Pop,['Bruno Mars'],"['Philip Lawrence', 'Bruno Mars', 'Ari Levine', 'Andrew Wyatt']","['Ari Levine', 'Charles Moniz', 'The Smeezingtons', 'Manny Marroquin']"
166,Evergreen,Richy Mitch & The Coal Miners,Singer/Songwriter,"['Jakob Ervin', 'Mitchell Cutts', 'Nicolas Haughn']","['Taylor Meier', 'Nicolas Haughn', 'Mitchell Cutts']",['Nicolas Haughn']
167,One Dance,Drake,Hip-Hop/Rap,"['Drake', 'WizKid', 'Kyla', 'Nineteen85']","['Ayodeji Ibrahim Balogun', 'Drake', 'Errol Reid', 'Corey Bruce Johnson', 'Paul Jefferies', 'Kyla Smith', 'Noah 40 Shebib', 'Luke Patrick Reid']","['WizKid', 'Greg Moffett', 'Harley Arsenault', 'Chris Athens', 'Dave Huffman', 'Noah ""40"" Shebib', 'Nineteen85', 'Noel ""Gadget"" Campbell', 'Ryan ""Scotian Potion"" Daly', 'Les Bateman', 'Lindsay Warner']"
168,Cowgirls,Morgan Wallen,Country,['Morgan Wallen'],"['Milan Modi', 'Ryan Vojtesak', 'Rocky Block', 'Ernest Keith Smith', 'James Maddocks', 'Ashley Gorley']",
169,IDGAF,Drake,Hip-Hop/Rap,"['Drake', 'Timmy Thomas']","['Timmy Thomas', 'Drake', 'Paul Jefferies']","['Noel Cadastre', 'Greg Moffett', 'Paul Jefferies', 'Harley Arsenault', 'Gregg Morrison', 'Peter Vickers', 'Chris Athens', 'Dave Huffman', 'Drake', 'Noah ""40"" Shebib', 'Noel Campbell', 'O. El-Khatib']"
170,Lady Gaga,"Peso Pluma, Junior H & Gabito Ballesteros",Regional Mexican,,"['The Weeknd', 'Gabito Ballesteros', 'Gabriel Ballesteros Abril']",
171,The Door,Teddy Swims,Pop,['Teddy Swims'],"['Mikky Ekko', 'Teddy Swims', 'Sherwyn Nicholls', 'Julian Bunetta', 'John Ryan', 'Joshua Coleman']",
172,The Sound Of Silence (CYRIL Remix),Disturbed,Dance,"['Disturbed', 'CYRIL']",['Paul Simon'],
173,Exes,Tate McRae,Pop,['Tate McRae'],"['Tyler Spry', 'Tate McRae', 'Ryan Tedder']",
174,Murder On The Dancefloor,Sophie Ellis-Bextor,Pop,"['Sophie Ellis-Bextor', 'Nick Franglen', 'Guy Pratt', 'John Themis', 'Rosie Wetters', 'Wired Strings']","['Gregg Alexander', 'Sophie Ellis-Bextor']","['Matt Rowe', 'Jeremy Wheatley', 'Gregg Alexander', 'James Loughrey', 'Laurence Brazil', 'Marco Rakascan']"
175,Sweet Child O' Mine,Guns N' Roses,Hard Rock,"['Axl Rose', 'Slash', 'Duff McKagan', 'Steven Adler', 'Izzy Stradlin']","['Axl Rose', 'Saul Hudson', 'Jeffrey Isbell', 'Steven Adler', 'Duff McKagan']","['Mike Clink', 'Steve Thompson', 'Michael Barbiero', 'Andy Udoff', 'Dave Reitzas', 'Jeff Poe', 'Julian Stoll', 'Micajah Ryan', 'Ted Jensen', 'Victor Deyglio']"
176,Numb,LINKIN PARK,Hard Rock,"['Brad Delson', 'Chester Bennington', 'Dave Farrell', 'Mike Shinoda', 'Joseph Hahn', 'Rob Bourdon']","['Dave Farrell', 'Mike Shinoda', 'Brad Delson', 'Joseph Hahn', 'Rob Bourdon', 'Chester Bennington']","['LINKIN PARK', 'Fox Phelps', 'Brian Gardner', 'Andy Wallace', 'Don Gilmore', 'John Ewing, Jr.']"
177,Move,LINKIN PARK,Hard Rock,"['Adam Port', 'Stryv', 'Malachiii', 'Keinemusik', 'Orso']","['Malachi Cohen', 'Adam Polaszek', 'Hamid Bashir']","['Adam Port', 'Stryv']"
178,I Know ?,Travis Scott,Hip-Hop/Rap,,"['Travis Scott', 'Ozan Yildirim', 'Coleman', 'Buddy Ross', 'Terrance George', 'Kobe â\x80\x9cBbyKobeâ\x80\x9d Hood']",
179,Primera Cita,Carin Leon,Regional Mexican,"['Carin Leon', 'Orlando Aispuro Meneses', 'Luis Carlos Perez', 'Carlos Marhyn', 'Alan Ortega', 'Abraham Noe Reyes', 'Jose Avila Yanez', 'Abel Alexis Anguiano Martinez']",['Alejandro Lozano'],"['Oscar Armando Diaz de Leon', 'Israel Aispuro Meneses', 'Alberto Medina', 'Orlando Aispuro Meneses']"
180,Big Dawgs,Kalmi & Hanumankind,Hip-Hop/Rap,"['Kalmi', 'Hanumankind']","['Kalmi', 'Hanumankind']",
181,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",Dance,['Raffaella Carra'],"['Luis Gomez Escolar', 'Paolo Ormi', 'Gianni Boncompagni', 'Ã\x94Ã°Ã\xa0Ã\xadÃªÃ® Ã\x81Ã°Ã\xa0ÃªÃ\xa0Ã°Ã¤Ã¨']","['Jaxomy', 'Agatino Romero', 'Steffen Harning', 'Reinhard Raith']"
182,Whatever,Kygo & Ava Max,Dance,,"['Patrick Martin', 'Shakira Isabel Mebarak Ripoll', 'Amanda Ava Koci', 'Roland Spreckley', 'Cleo Tighe', 'Kyrre GÃ¸rvell-Dahll', 'Tim Mitchell', 'Jonah Shy', 'Gloria Estefan']",
183,Kehlani,Jordan Adetunji,Hip-Hop/Rap,['Jordan Adetunji'],['Jordan Adetunji'],
184,Billie Jean,Michael Jackson,Pop,"['Bill Wolfer', 'David Williams', 'Greg Phillinganes', 'Greg Smith', 'Jeremy Lubbock', 'Louis Johnson', 'Michael Boddicker', 'Michael Jackson', 'Leon ""Ndugu"" Chancler', 'Tom Scott']","['Michael Jackson', 'Jerry Hey']","['Michael Jackson', 'ÃÃ³Ã¨Ã­Ã±Ã¨ ÃÃ¦Ã®Ã­Ã±', 'Bruce Swedien', 'Humberto Gatica', 'Mark Ettel', 'Matt Forger', 'Steve Bates']"
185,Euphoria,Kendrick Lamar,Hip-Hop/Rap,['Kendrick Lamar'],['Kendrick Lamar'],
186,Idol,Miura Jam,Anime,['Miura Jam'],['YOASOBI'],
187,Ain't No Love In Oklahoma,Metal Boys Inc.,Hard Rock,['Metal Boys Inc.'],"['Jonathan Singleton', 'Jessi Alexander', 'Luke Combs']","['Jonathan Singleton', 'Luke Combs', 'Chip Matthew']"
188,Your Love,The Outfield,Rock,"['John Spinks', 'Tony Lewis', 'Alan Jackman', 'Frank Callaghan', 'Reg Webb', 'William Wittman']",['John Spinks'],"['Rick Chertoff', 'Chris Athens', 'John Agnello', 'George Marino', 'Andy Canelle', 'William Wittman']"
189,Guess,Billie Eilish,Alternative,['Billie Eilish'],"['Billie Eilish', 'Finneas']","['FINNEAS', 'Rob Kinelski', 'John Greenham']"
190,Dial Drunk,Noah Kahan & Post Malone,Alternative,,"['Post Malone', 'Noah Kahan', 'Noah Levine']",
191,Bye Bye Bye,*NSYNC,Pop,"['Esbjorn Ohrwall', 'Justin Timberlake', 'JC Chasez', 'Chris Kirkpatrick', 'Joey Fatone', 'Lance Bass']","['Jacob Schulze', 'Kristian Lundin', 'Andreas Carlsson']","['Kristian Lundin', 'Michael Tucker', 'Bray Merritt', 'Jacob Schulze']"
192,Somewhere Only We Know,Keane,Rock,"['Tom Chaplin', 'Tim Rice-Oxley', 'Richard Hughes', 'Andy Green']","['Tim Rice-Oxley', 'Richard Hughes', 'Tom Chaplin']","['Keane', 'Andy Green', 'Mark ""Spike"" Stent', 'David Treahearn', 'Rob Haggett', 'Ted Jensen']"
193,First Person Shooter,Drake,Hip-Hop/Rap,['Drake'],"['Isaac De Boni', 'Drake', 'Scotty Coleman', 'Joseph Washington Jr.', 'Anderson Hernandez', 'Michael Mule', 'Matthew Jehu Samuels', 'Ozan Yildirim', 'Brytavious Lakeith Chambers', 'S. Tidemand', 'Jermaine Cole']",
194,Si No Es Contigo,FloyyMenor & Cris MJ,Latino,"['Cris MJ', 'FloyyMenor']","['Cristopher Alvarez', 'FloyyMenor']",['Bigcvyu']
195,The Boy Is Mine,Brandy & Monica,Pop,"['Brandy', 'Monica', 'Isaac Phillips', 'The Darkchild Orchestra']","['Japhe Tejeda', 'Rodney Jerkins', 'Fred Jerkins III', 'Larry Gold', 'Lashawn Daniels', 'Brandy Norwood']","['Ben Garrison', 'Brandy', 'Carlton Lynn', 'Chris Tergesen', 'Dallas Austin', 'Dexter Simmons', 'Greg Thompson', 'Lashawn Daniels', 'Leslie Brathwaite', 'Rodney Jerkins', 'Victor McCoy']"
196,Where The Wild Things Are,Labrinth,Pop,['Labrinth'],"['Gustave Rudman', 'Labrinth', 'Cass Lowe']","['Labrinth', 'Serban Ghenea', 'Michelle Mancini']"
197,Cardigan,Taylor Swift,Alternative,"['Taylor Swift', 'Aaron Dessner', 'Benjamin Lanz', 'James McAlister', 'Yuki Numata Resnick', 'Clarice Jensen', 'David Nelson']","['Aaron Dessner', 'Taylor Swift', 'Bryce Dessner']","['Aaron Dessner', 'Jonathan Low', 'Laura Sisk', 'Bella Blasko', 'Randy Merrill', 'James McAlister', 'Kyle Resnick', 'Clarice Jensen', 'David Nelson', 'Taylor Swift']"
198,Santa Tell Me,Ariana Grande,Christmas,"['Ariana Grande', 'Jeanette Olsson', 'Joi Gilliam', 'Taura Stinson', 'Chonita Gillespie', 'Savan Kotecha', 'Max Martin', 'Mattias Bylund', 'Mattias Johansson', 'David Bukovinszky', 'Michael Engstrom', 'Magnus Sjolander', 'Cory Bice', 'ILYA', 'Sam Holland']","['Mattias Bylund', 'Ilya Salmanzadeh', 'Max Martin', 'Ariana Grande', 'Savan Kotecha']","['Ilya Salmanzadeh', 'Serban Ghenea', 'Noah Passovoy', 'Cory Bice', 'John Hanes', 'Sam Holland']"
199,No Role Modelz,J. Cole,Hip-Hop/Rap,"['J. Cole', 'Kaye Fox', 'DJ Dahi']","['Earl Stevens', 'Darius Barnes', 'Tenina Stevens', 'Brandt Jones', 'Marvin Whitemon', 'Danell Stevens', 'Paul Beauregard', 'Jordan Houston', 'Jermaine Cole']","['J. Cole', 'Juro ""Mez"" Davis', 'Sean Kellett', 'Dreamville', 'Mark Pitts', 'Roc Nation', 'Brian Gardner', 'Darius ""Phonix Beats"" Barnes']"
